,Total edges,Average degree weight=count,Average degree weight=duration(seconds),Average clustering coefficient unweighted,Average clustering coefficient weight=count,Average clustering coefficient weight=duration(seconds),Average betweenness centrality unweighted,Average betweenness centrality weight=count,Average betweenness centrality weight=duration(seconds),Average closseness centrality unweighted,Average closseness centrality weight=count,Average closseness centrality weight=duration(seconds),Newman modularity unweighted,Newman_modularity weight=count,Newman_modularity weight=dration(seconds)
CsCh-2024-07-09--18-08-23,66.0,818.0,16471.833333333332,1.0,0.3954528410469604,0.3775185706821564,0.0,0.06616161616161616,0.06818181818181819,1.0,0.018707603619244503,0.000971575971922434,0.0,0.0,0.0
CsCh-2024-07-09--18-08-29,66.0,786.3333333333334,15882.666666666666,1.0,0.31693560974876794,0.28308951549218503,0.0,0.04015151515151515,0.05303030303030303,1.0,0.017371645663723574,0.0009019817903547172,0.0,0.0,0.0
CsCh-2024-07-09--18-08-35,66.0,751.3333333333334,15876.833333333334,1.0,0.39168200555232247,0.3693999871449427,0.0,0.052272727272727276,0.06515151515151514,1.0,0.021321979702014802,0.001221580314690466,0.0,0.0,0.0
CsCh-2024-07-09--18-08-41,66.0,807.6666666666666,16247.833333333334,1.0,0.3296413166120988,0.34542181918266396,0.0,0.06363636363636364,0.0893939393939394,1.0,0.0192597049066293,0.0010739701569462171,0.0,0.0,0.0
CsCh-2024-07-09--18-08-48,66.0,804.6666666666666,16133.0,1.0,0.524675296808849,0.44097942333097123,0.0,0.041666666666666664,0.05000000000000001,1.0,0.015866581125329026,0.0008568587614844416,0.0,0.0,0.0
CsCh-2024-07-09--18-08-54,66.0,846.6666666666666,16933.5,1.0,0.3841697113030793,0.3681988255345978,0.0,0.04318181818181818,0.048484848484848485,1.0,0.017065278215489397,0.000823567961060168,0.0,0.0,0.0
CsCh-2024-07-09--18-09-01,66.0,782.1666666666666,16768.833333333332,1.0,0.32914673300876557,0.35185638166394123,0.0,0.03787878787878788,0.06363636363636364,1.0,0.01723725088393334,0.0009524490837139146,0.0,0.0,0.0
CsCh-2024-07-09--18-09-08,66.0,829.3333333333334,16773.833333333332,1.0,0.3710422553253801,0.3377345665572102,0.0,0.03939393939393939,0.051515151515151514,1.0,0.016269599314446218,0.0008818631873588717,0.0,0.0,0.0
CsCh-2024-07-09--18-09-14,66.0,962.6666666666666,19247.5,1.0,0.4393176940864758,0.4822832345387298,0.0,0.03636363636363637,0.049999999999999996,1.0,0.013395231947449078,0.0007015318302819023,0.0,0.0,0.0
CsCh-2024-07-09--18-09-20,65.0,803.5,16271.166666666666,0.984848484848485,0.4018310026979834,0.37280644257809503,0.0015151515151515154,0.048484848484848485,0.062121212121212126,0.986111111111111,0.016930116142282892,0.000849012984837345,0.0,0.0,0.0
CsCh-2024-07-09--18-09-26,66.0,785.6666666666666,16876.833333333332,1.0,0.42081106094636667,0.42986625629613034,0.0,0.05909090909090909,0.03181818181818182,1.0,0.01780965882949711,0.0007873798891947856,0.0,0.0,0.0
CsCh-2024-07-09--18-09-33,66.0,816.5,17520.666666666668,1.0,0.4563130943539233,0.45069735550238055,0.0,0.04545454545454545,0.06212121212121211,1.0,0.017496189009766527,0.0008642214957480886,0.0,0.0,0.0
CsCh-2024-07-09--18-09-39,66.0,843.3333333333334,17603.166666666668,1.0,0.44192350658138735,0.40379220362981433,0.0,0.05151515151515151,0.06060606060606061,1.0,0.016908230386879827,0.0008916422727538851,0.0,0.0,0.0
CsCh-2024-07-09--18-09-46,66.0,805.1666666666666,17342.0,1.0,0.42917088139002807,0.37465993827144306,0.0,0.06742424242424243,0.07727272727272727,1.0,0.01801066720078263,0.0010012605508585121,0.0,0.0,0.0
CsCh-2024-07-09--18-09-53,66.0,843.1666666666666,17833.333333333332,1.0,0.41030214925277025,0.4130582557967708,0.0,0.0303030303030303,0.03333333333333333,1.0,0.015379520259957527,0.0007531744327191934,0.0,0.0,0.0
CsCh-2024-07-09--18-09-59,66.0,832.8333333333334,16434.833333333332,1.0,0.43589620882822805,0.4467113324322353,0.0,0.056060606060606054,0.051515151515151514,1.0,0.016869392042931544,0.0009004511000634947,0.0,0.0,0.0
CsCh-2024-07-09--18-10-05,66.0,778.1666666666666,16073.166666666666,1.0,0.38473426724187026,0.448043203010876,0.0,0.06212121212121211,0.07727272727272727,1.0,0.019408705569060148,0.0010698986697624572,0.0,0.0,0.0
CsCh-2024-07-09--18-10-12,66.0,850.1666666666666,17528.166666666668,1.0,0.423902208661175,0.38544922098735634,0.0,0.042171717171717166,0.05000000000000001,1.0,0.01590371208704874,0.0008246755931969214,0.0,0.0,0.0
CsCh-2024-07-09--18-10-18,66.0,821.6666666666666,16030.833333333334,1.0,0.4557001481660739,0.3924193876711253,0.0,0.06212121212121211,0.08484848484848484,1.0,0.019500738428944644,0.0010889400348094134,0.0,0.0,0.0
CsCh-2024-07-09--18-10-25,66.0,782.1666666666666,15212.666666666666,1.0,0.47514166862143,0.47213005365561656,0.0,0.05833333333333334,0.06060606060606061,1.0,0.018947185186332746,0.0009775320121280546,0.0,0.0,0.0
CsCh-2024-07-09--18-10-31,66.0,789.6666666666666,15855.166666666666,1.0,0.37201015185477404,0.3316181355736593,0.0,0.046212121212121204,0.06212121212121213,1.0,0.017247456505741148,0.000946259574427331,0.0,0.0,0.0
CsCh-2024-07-09--18-10-38,66.0,808.5,17168.0,1.0,0.38749379438578385,0.37169626228553604,0.0,0.03484848484848485,0.05757575757575758,1.0,0.017152213481366464,0.000914343018323692,0.0,0.0,0.0
CsCh-2024-07-09--18-10-44,66.0,829.6666666666666,16820.0,1.0,0.4106041681600008,0.38823239936339665,0.0,0.034090909090909095,0.04545454545454545,1.0,0.015661723790944146,0.0008870492459576159,0.0,0.0,0.0
